Gemeente;Datum;Melding;Werkvoorraad_In_Behandeling;Ontvangst;Planning_opname;Ingepland_voor_opname;Opleveren_rapport_bewoner;Rapport_bij_bewoner;Voorbereiden_Besluit;Beschikt;AFW;BEH;Afgehandeld_totaal;GeenReactieAdviesrapport;AkkoordAdviesrapport;IZS_Adviesrapport;AOS;AOSGegrond;MeldingCVW;MeldingVoorWesterwijtwerd;MeldingNaWesterwijtwerd;Fysieke Schade;Wettelijke Rente;Bijkomende Kosten;Stuwmeer;Sum_Verleend;a_0-1000;b_1000-4000;c_4000-10000;d_GT_10000;Bezwaar_Totaal;Bezwaar_InBehandeling;Bezwaar_Afgehandeld;Bezwaar_Gegrond;Bezwaar_DeelsGegrond;Bezwaar_Ongegrond;Bezwaar_DoorgezetSchadeproces;Bezwaar_NietOntvankelijk;Bezwaar_Ingetrokken;LTHalfJaar_Werkvoorraad;LTHalfJaar_Ontvangst;LTHalfJaar_Plan_Opname;LTHalfJaar_OpleverenRapport;LTHalfJaar_VoorbBesluit;Half_1Jaar_Werkvoorraad;Half_1Jaar_Ontvangst;Half_1Jaar_PlanOpname;Half_1Jaar_OplRapport;Half_1Jaar_VoorberBesluit;Jaar1_2_Werkvoorraad;Jaar1_2_Ontvangst;Jaar1_2_PlanOpname;Jaar1_2_OplRapport;Jaar1_2_VoorberBesluit;Jaar2Plus_Werkvoorraad;Jaar2Plus_Ontvangst;Jaar2Plus_PlanOpname;Jaar2Plus_OplrapportBew;Jaar2Plus_VoorbBesluit;Opnames;Nulmeting;Rapportage;Rapportage_Nulmeting;Opnames_Aannemersvariant;Opnames_Digitaal;Opnames_smr;Opnames_Regulier;Opnames_Woco;Opnames_Opnemersvariant;Productie_OntvangstAnalyse;Productie_GereedVoorInplanning;Productie_OpleverenRapport;Productie_RapportBewoner;Productie_VoorbereidenBesluit;Specials_Melding;Specials_Wv_In_Beh;Specials_Ontvangst;Specials_PlanningOpname;Specials_OplevRapBewoner;Specials_VoorbereidenBesluit;Specials_AfgehandeldTotaal;Specials_Meldingen_Agro;Specials_Wv_beh_Agro;Specials_Ontvangst_Agro;Specials_PlanningOpname_Agro;Specials_OplevRapBewoner_Agro;Specials_VoorberBesluit_Agro;Specials_Afgehandeld_Agro;Specials_Meldingen_Erfgoed;Specials_Wv_beh_Erfgoed;Specials_Ontvangst_Erfgoed;Specials_PlanningOpname_Erfgoed;Specials_OplevRapBewoner_Erfgoed;Specials_VoorberBesluit_Erfgoed;Specials_Afgehandeld_Erfgoed;Specials_Meldingen_MKB;Specials_Wv_beh_MKB;Specials_Ontvangst_MKB;Specials_PlanningOpname_MKB;Specials_OplevRapBewoner_MKB;Specials_VoorberBesluit_MKB;Specials_Afgehandeld_MKB;Specials_Meldingen_Overig;Specials_Wv_beh_Overig;Specials_Ontvangst_Overig;Specials_PlanningOpname_Overig;Specials_OplevRapBewoner_Overig;Specials_VoorberBesluit_Overig;Specials_Afgehandeld_Overig;VERWACHT_AANTAL_DAGEN_DLT_MELDING_BESLUIT;PERCENTAGE_AANTAL_DAGEN_DLT_TOTAAL_ONDER181_VS2500;MEDIAAN_AANTAL_DAGEN_DLT_TOTAAL_VS2500
;11-10-2021;746;139;103;18;3;2;5;8;19;11;8;607;;;;2330;378;;2;137;€ 19.981;€ 163;€ 2.320;€ 10.000;€ 32.464;1;3;5;;;;;;;;;;;73;63;1;1;4;63;37;17;1;4;1;1;;;;;;;;;27;1;22;1;;;1;17;;4;49;28;23;17;19;52;48;45;3;;;4;2156;1004;188;285;223;157;1152;4688;1169;156;188;286;186;3519;6223;1890;367;411;349;362;4333;2033;950;732;19;60;63;1083;224;38;204
's-Gravenhage;11-10-2021;2;;;;;;;;1;1;;2;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;;0;;;;;;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aa En Hunze;11-10-2021;1120;441;195;61;6;52;39;84;626;148;478;679;187;249;109;;;;;441;€ 3.658.329;€ 56.250;€ 226.657;€ 335.000;€ 4.276.236;3;122;188;168;34;14;20;0;1;15;0;1;3;157;73;34;22;8;195;74;24;20;62;86;48;3;9;13;3;;;1;1;726;46;649;53;207;6;16;393;1;68;886;695;702;552;627;162;92;67;4;7;6;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Achtkarspelen;11-10-2021;39;30;18;3;;5;1;3;8;7;1;9;3;;3;;;;;30;€ 1.995;€ 32;€ 345;;€ 2.372;0;1;;;1;1;;0;0;0;0;0;0;21;15;3;3;;7;2;;1;3;2;1;;1;;;;;;;14;;9;0;1;;0;10;;;23;14;9;6;8;15;15;13;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ameland;11-10-2021;4;4;4;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;1;1;;;;3;3;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amsterdam;11-10-2021;1;;;;;;;;;;;1;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Appingedam;11-10-2021;2995;430;114;33;39;105;40;73;2185;190;1995;2565;579;825;487;;;11;9;410;€ 10.818.039;€ 232.009;€ 1.054.267;€ 2.026.000;€ 14.137.974;92;580;944;395;120;34;86;18;35;22;0;4;7;258;89;15;76;30;89;18;11;18;24;53;7;5;5;14;30;;2;6;5;2194;201;1997;249;239;22;199;1076;212;282;2347;2054;2226;1896;2176;267;50;11;6;11;9;217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Assen;11-10-2021;293;182;95;2;3;7;3;72;104;80;24;111;11;15;9;;;;;182;€ 227.070;€ 1.942;€ 9.060;€ 36.000;€ 274.072;0;3;11;11;4;0;4;0;0;3;0;0;1;50;46;1;1;1;72;47;1;5;16;60;2;;1;55;;;;;;73;4;44;5;15;1;2;36;;17;155;88;49;35;105;59;53;43;;2;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Beekdaelen;11-10-2021;1;;;;;;;;1;1;;1;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;;0;;;;1;;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bergen (Nh.);11-10-2021;1;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
